execution_count,companyId,companyName,month
258,1794,ARCA ARG,2025-01
27,1102,Agritop,2025-01
28,1562,Aldeamo,2025-01
2,1642,Alianza del Valle,2025-01
36,462,Ambiente QA,2025-01
9,1896,Arca Continental Argentina,2025-01
47,748,Arca MX Ecommerce,2025-01
71001,362,Arca PE,2025-01
8,1068,Arca PE Ecommerce,2025-01
19602,470,Arca PE Proyecto Frío,2025-01
30,1940,Arca camiones,2025-01
25,1849,Arca movil,2025-01
52,317,Aurea,2025-01
19,1639,Automation QA Test,2025-01
428,1973,BCP Sendsei,2025-01
22921,1245,BG - Banco del Barrio 2,2025-01
164,930,Banco Bolivariano Cobranzas,2025-01
3915,1584,Banco Comercial Manabí,2025-01
1936874,155,Banco Guayaquil,2025-01
579,1737,Banco Union,2025-01
1,133,Banco del Austro,2025-01
4063,417,Banisi,2025-01
61195,692,Banisi Chat,2025-01
1,1767,Banorte,2025-01
62,11,BdP,2025-01
38,1649,Bruno,2025-01
11,1569,CANTEC,2025-01
6454,1848,CIVE,2025-01
4,1373,Califik,2025-01
54085,138,Cervecería Nacional,2025-01
92,1898,Cibernetica,2025-01
69,1847,Ck Comercializadora,2025-01
83139,1559,Coca Cola en tu hogar,2025-01
4523,1694,Cooperativa Daquilema,2025-01
1,855,Cooperativa El Sagrario,2025-01
21,1881,Cooperativa Policía Nacional,2025-01
14,1846,Cudesa,2025-01
171,1960,Cámara de construcción de Guayaquil,2025-01
44,1808,Daiesa,2025-01
43893,1760,Danec,2025-01
91,35,Datafast,2025-01
23,1926,Datilmedia S.A.,2025-01
236004,150,Deprati,2025-01
597,1602,Descuentos y Beneficios,2025-01
1008,5,DevLab,2025-01
158,110,Dipaso,2025-01
1149,1743,Distrikia,2025-01
7,1304,Doctorio,2025-01
521,1945,Duragas,2025-01
22,1053,EclipSoft,2025-01
1,1160,Expand,2025-01
192,1652,Expoplaza,2025-01
337,1951,FPV Seguros,2025-01
152,1758,Finanza AI,2025-01
28,1937,Flexi,2025-01
29389,124,GEA Ecuador,2025-01
59,1280,Gea Colombia,2025-01
990,1925,INDI BCP,2025-01
40,368,Innovat Latam.,2025-01
139,1955,Italika,2025-01
8,1961,Jelou AI commerce ingles,2025-01
1501,1957,Jelou Banking,2025-01
397,135,Jelou Dev,2025-01
388,1944,Jelou Marketplace,2025-01
6686,361,Jelou Pay,2025-01
657,331,Jelou Producto,2025-01
1542,322,Jelou Shop,2025-01
10,1044,Jelou Ventas,2025-01
674,1266,Katherine del Carmen Ovando,2025-01
26980,1718,Kaufmann,2025-01
1465,997,La Finestra SAS,2025-01
48,1948,Lastra Bazurto Patricia Aracelly,2025-01
1746,935,Lavca,2025-01
1069,965,Livansud,2025-01
10,1798,Luz Verde Cobranza,2025-01
1691,258,Luzverde,2025-01
6141,404,MONGO'S,2025-01
356,745,Mail Boxes Etc,2025-01
299,940,Mardis,2025-01
3460,1950,Marriott,2025-01
48209,405,Massline,2025-01
60,1648,Medexcard,2025-01
6,1507,Michael’s Delivery,2025-01
6,967,N5,2025-01
2319,1482,Naturisa,2025-01
1677,147,Netlife,2025-01
16,1329,Nutrarte,2025-01
66,1962,Ondu Cloud,2025-01
2343,1480,Oriental,2025-01
3,1861,PLUVIALE,2025-01
46,1379,Pocket Tienda Prototipo,2025-01
3,1547,PopCornComunication,2025-01
85732,54,Pycca,2025-01
1714,1903,Rabbit,2025-01
1,1633,SaludSA,2025-01
