execution_count,companyId,companyName,week_end_sunday
80,1794,ARCA ARG,2025-01-05
2,1642,Alianza del Valle,2025-01-05
5,1896,Arca Continental Argentina,2025-01-05
3829,362,Arca PE,2025-01-05
1342,470,Arca PE Proyecto Frío,2025-01-05
4,317,Aurea,2025-01-05
4770,1245,BG - Banco del Barrio 2,2025-01-05
20,930,Banco Bolivariano Cobranzas,2025-01-05
320,1584,Banco Comercial Manabí,2025-01-05
216114,155,Banco Guayaquil,2025-01-05
66,1737,Banco Union,2025-01-05
9677,692,Banisi Chat,2025-01-05
4,1569,CANTEC,2025-01-05
492,1848,CIVE,2025-01-05
3345,138,Cervecería Nacional,2025-01-05
8,1847,Ck Comercializadora,2025-01-05
5150,1559,Coca Cola en tu hogar,2025-01-05
234,1694,Cooperativa Daquilema,2025-01-05
2667,1760,Danec,2025-01-05
28588,150,Deprati,2025-01-05
29,1602,Descuentos y Beneficios,2025-01-05
33,5,DevLab,2025-01-05
153,1743,Distrikia,2025-01-05
5,1304,Doctorio,2025-01-05
10,1652,Expoplaza,2025-01-05
33,1758,Finanza AI,2025-01-05
26,124,GEA Ecuador,2025-01-05
90,1925,INDI BCP,2025-01-05
58,1957,Jelou Banking,2025-01-05
4,135,Jelou Dev,2025-01-05
653,361,Jelou Pay,2025-01-05
1,331,Jelou Producto,2025-01-05
1,1266,Katherine del Carmen Ovando,2025-01-05
4642,1718,Kaufmann,2025-01-05
8,997,La Finestra SAS,2025-01-05
33,935,Lavca,2025-01-05
211,965,Livansud,2025-01-05
240,258,Luzverde,2025-01-05
698,404,MONGO'S,2025-01-05
59,940,Mardis,2025-01-05
5831,405,Massline,2025-01-05
222,1482,Naturisa,2025-01-05
211,1480,Oriental,2025-01-05
11091,54,Pycca,2025-01-05
174,1903,Rabbit,2025-01-05
8,452,Seguros Pacífico,2025-01-05
35,1811,Sistecrédito,2025-01-05
1252,1761,Solca,2025-01-05
9,1865,Start Co,2025-01-05
2,1384,Talento Humano,2025-01-05
11,1844,Tienda Branchos,2025-01-05
29,1880,TransSky,2025-01-05
16,1953,TuSupperAhorro,2025-01-05
1039,823,Tuenti POC,2025-01-05
371,1890,Tuenti Vendedores,2025-01-05
35,807,Universidad de las Artes,2025-01-05
12125,95,Veris,2025-01-05
3,1860,Vitapro,2025-01-05
6,1133,Vivalia,2025-01-05
8,353,Yomp,2025-01-05
172,1794,ARCA ARG,2025-01-12
10,1102,Agritop,2025-01-12
10,1562,Aldeamo,2025-01-12
47,748,Arca MX Ecommerce,2025-01-12
22124,362,Arca PE,2025-01-12
2172,470,Arca PE Proyecto Frío,2025-01-12
8,317,Aurea,2025-01-12
19,1639,Automation QA Test,2025-01-12
8355,1245,BG - Banco del Barrio 2,2025-01-12
62,930,Banco Bolivariano Cobranzas,2025-01-12
854,1584,Banco Comercial Manabí,2025-01-12
522330,155,Banco Guayaquil,2025-01-12
66,1737,Banco Union,2025-01-12
11339,692,Banisi Chat,2025-01-12
12,1649,Bruno,2025-01-12
2,1569,CANTEC,2025-01-12
1357,1848,CIVE,2025-01-12
8830,138,Cervecería Nacional,2025-01-12
28,1847,Ck Comercializadora,2025-01-12
11592,1559,Coca Cola en tu hogar,2025-01-12
1006,1694,Cooperativa Daquilema,2025-01-12
3,1881,Cooperativa Policía Nacional,2025-01-12
81,1960,Cámara de construcción de Guayaquil,2025-01-12
13772,1760,Danec,2025-01-12
26,35,Datafast,2025-01-12
2,1926,Datilmedia S.A.,2025-01-12
58837,150,Deprati,2025-01-12
89,1602,Descuentos y Beneficios,2025-01-12
158,5,DevLab,2025-01-12
253,1743,Distrikia,2025-01-12
75,1945,Duragas,2025-01-12
6,1053,EclipSoft,2025-01-12
105,1652,Expoplaza,2025-01-12
9,1951,FPV Seguros,2025-01-12
34,1758,Finanza AI,2025-01-12
28,1937,Flexi,2025-01-12
679,124,GEA Ecuador,2025-01-12
47,1280,Gea Colombia,2025-01-12
180,1925,INDI BCP,2025-01-12
11,368,Innovat Latam.,2025-01-12
643,1957,Jelou Banking,2025-01-12
96,135,Jelou Dev,2025-01-12
62,1944,Jelou Marketplace,2025-01-12
1468,361,Jelou Pay,2025-01-12
102,331,Jelou Producto,2025-01-12
122,322,Jelou Shop,2025-01-12
4,1044,Jelou Ventas,2025-01-12
2,1266,Katherine del Carmen Ovando,2025-01-12
6265,1718,Kaufmann,2025-01-12
3,997,La Finestra SAS,2025-01-12
271,935,Lavca,2025-01-12
282,965,Livansud,2025-01-12
6,1798,Luz Verde Cobranza,2025-01-12
419,258,Luzverde,2025-01-12
1274,404,MONGO'S,2025-01-12
23,745,Mail Boxes Etc,2025-01-12
95,940,Mardis,2025-01-12
118,1950,Marriott,2025-01-12
11457,405,Massline,2025-01-12
5,1648,Medexcard,2025-01-12
6,1507,Michael’s Delivery,2025-01-12
1,967,N5,2025-01-12
785,1482,Naturisa,2025-01-12
153,147,Netlife,2025-01-12
11,1329,Nutrarte,2025-01-12
518,1480,Oriental,2025-01-12
33,1379,Pocket Tienda Prototipo,2025-01-12
22418,54,Pycca,2025-01-12
445,1903,Rabbit,2025-01-12
7,1845,Seguros Confianza,2025-01-12
15,452,Seguros Pacífico,2025-01-12
11,1566,Siigo,2025-01-12
71,1811,Sistecrédito,2025-01-12
6693,1761,Solca,2025-01-12
