companyId,companyName,week_end_sunday,kyc_sessions_total,gov_validated,gov_not_validated,hil_doccheck_total,hil_doccheck_approved,hil_doccheck_disapproved,hil_liveness_total,hil_liveness_approved,hil_liveness_disapproved,hil_facematch_total,hil_facematch_approved,hil_facematch_disapproved
1028,Company 1028,2025-07-06,2,2,0,2,2,0,2,1,1,0,0,0
1028,Company 1028,2025-07-13,5,3,0,3,3,0,5,4,0,0,0,0
1028,Company 1028,2025-07-27,7,0,0,0,0,0,7,7,0,0,0,0
1028,Company 1028,2025-08-17,1,0,0,0,0,0,1,1,0,0,0,0
1053,Company 1053,2025-08-10,1,1,0,1,1,0,1,1,0,0,0,0
1053,Company 1053,2025-08-17,1,0,0,0,0,0,1,1,0,0,0,0
1053,Company 1053,2025-08-31,1,1,0,1,1,0,1,1,0,0,0,0
1053,Company 1053,2025-09-07,1,1,0,1,1,0,1,1,0,0,0,0
1053,Company 1053,2025-09-14,1,1,0,1,1,0,1,1,0,0,0,0
1053,Company 1053,2025-11-16,1,1,0,1,1,0,1,1,0,0,0,0
1053,Company 1053,2025-11-30,1,1,0,1,1,0,1,1,0,0,0,0
1053,Company 1053,2025-12-21,1,1,0,1,1,0,1,1,0,0,0,0
1053,Company 1053,2026-01-25,1,0,0,0,0,0,1,0,1,0,0,0
1053,Company 1053,2026-02-01,3,0,0,3,3,0,3,3,0,0,0,0
1053,Company 1053,2026-02-08,2,0,0,2,1,1,2,2,0,0,0,0
1053,Company 1053,2026-03-01,1,1,0,1,1,0,1,1,0,0,0,0
1053,Company 1053,2026-03-22,2,2,0,2,2,0,2,2,0,0,0,0
1053,Company 1053,2026-03-29,5,2,1,3,2,1,5,4,1,0,0,0
1053,Company 1053,2026-04-05,1,1,0,1,1,0,1,1,0,0,0,0
110,Company 110,2025-05-11,391,0,0,268,254,7,392,281,50,0,0,0
110,Company 110,2025-05-18,424,0,0,304,282,13,427,320,68,0,0,0
110,Company 110,2025-05-25,457,0,0,301,269,17,461,311,86,0,0,0
110,Company 110,2025-06-01,484,0,0,294,275,6,484,301,66,0,0,0
110,Company 110,2025-06-08,476,0,0,376,360,1,476,400,24,0,0,0
