companyId,companyName,week_end_sunday,stepName,status,kyc_steps_count
1028,Company 1028,2025-07-06,document_check,Approved,2
1028,Company 1028,2025-07-06,facematch,Approved,2
1028,Company 1028,2025-07-06,liveness,Approved,1
1028,Company 1028,2025-07-06,liveness,Disapproved,1
1028,Company 1028,2025-07-13,document_check,Approved,3
1028,Company 1028,2025-07-13,facematch,Approved,3
1028,Company 1028,2025-07-13,liveness,Approved,4
1028,Company 1028,2025-07-13,liveness,Incomplete,1
1028,Company 1028,2025-07-27,liveness,Approved,7
1028,Company 1028,2025-08-17,liveness,Approved,1
1053,Company 1053,2025-08-10,document_check,Approved,1
1053,Company 1053,2025-08-10,facematch,Approved,1
1053,Company 1053,2025-08-10,liveness,Approved,1
1053,Company 1053,2025-08-17,liveness,Approved,1
1053,Company 1053,2025-08-31,document_check,Approved,1
1053,Company 1053,2025-08-31,facematch,Approved,1
1053,Company 1053,2025-08-31,liveness,Approved,1
1053,Company 1053,2025-09-07,document_check,Approved,1
1053,Company 1053,2025-09-07,facematch,Approved,1
1053,Company 1053,2025-09-07,liveness,Approved,1
1053,Company 1053,2025-09-14,document_check,Approved,1
1053,Company 1053,2025-09-14,facematch,Approved,1
1053,Company 1053,2025-09-14,liveness,Approved,1
1053,Company 1053,2025-11-16,document_check,Approved,1
1053,Company 1053,2025-11-16,facematch,Approved,1
1053,Company 1053,2025-11-16,liveness,Approved,1
1053,Company 1053,2025-11-30,document_check,Approved,1
1053,Company 1053,2025-11-30,facematch,Approved,1
1053,Company 1053,2025-11-30,liveness,Approved,1
1053,Company 1053,2025-12-21,document_check,Approved,1
1053,Company 1053,2025-12-21,facematch,Approved,1
1053,Company 1053,2025-12-21,liveness,Approved,1
1053,Company 1053,2026-01-25,liveness,Disapproved,1
1053,Company 1053,2026-02-01,document_check,Approved,3
1053,Company 1053,2026-02-01,facematch,Approved,3
1053,Company 1053,2026-02-01,liveness,Approved,3
1053,Company 1053,2026-02-08,document_check,Approved,1
1053,Company 1053,2026-02-08,document_check,Disapproved,1
1053,Company 1053,2026-02-08,facematch,Approved,1
1053,Company 1053,2026-02-08,liveness,Approved,2
1053,Company 1053,2026-03-01,document_check,Approved,1
1053,Company 1053,2026-03-01,facematch,Approved,1
1053,Company 1053,2026-03-01,liveness,Approved,1
1053,Company 1053,2026-03-22,document_check,Approved,2
1053,Company 1053,2026-03-22,facematch,Approved,2
1053,Company 1053,2026-03-22,liveness,Approved,2
110,Company 110,2025-05-11,document_check,Approved,254
110,Company 110,2025-05-11,document_check,Disapproved,7
110,Company 110,2025-05-11,document_check,Incomplete,7
110,Company 110,2025-05-11,liveness,Approved,281
110,Company 110,2025-05-11,liveness,Disapproved,50
110,Company 110,2025-05-11,liveness,Incomplete,61
110,Company 110,2025-05-18,document_check,Approved,282
110,Company 110,2025-05-18,document_check,Disapproved,13
110,Company 110,2025-05-18,document_check,Incomplete,9
110,Company 110,2025-05-18,liveness,Approved,320
110,Company 110,2025-05-18,liveness,Disapproved,68
110,Company 110,2025-05-18,liveness,Incomplete,39
110,Company 110,2025-05-25,document_check,Approved,269
110,Company 110,2025-05-25,document_check,Disapproved,17
110,Company 110,2025-05-25,document_check,Incomplete,15
110,Company 110,2025-05-25,liveness,Approved,311
110,Company 110,2025-05-25,liveness,Disapproved,86
110,Company 110,2025-05-25,liveness,Incomplete,46
110,Company 110,2025-05-25,liveness,Failed,18
110,Company 110,2025-06-01,document_check,Approved,275
110,Company 110,2025-06-01,document_check,Disapproved,6
110,Company 110,2025-06-01,document_check,Incomplete,11
110,Company 110,2025-06-01,document_check,Failed,2
110,Company 110,2025-06-01,liveness,Approved,301
110,Company 110,2025-06-01,liveness,Disapproved,66
110,Company 110,2025-06-01,liveness,Incomplete,69
110,Company 110,2025-06-01,liveness,Failed,48
110,Company 110,2025-06-08,document_check,Approved,360
110,Company 110,2025-06-08,document_check,Disapproved,1
110,Company 110,2025-06-08,document_check,Incomplete,14
110,Company 110,2025-06-08,document_check,Failed,1
110,Company 110,2025-06-08,liveness,Approved,400
110,Company 110,2025-06-08,liveness,Disapproved,24
110,Company 110,2025-06-08,liveness,Incomplete,51
110,Company 110,2025-06-08,liveness,Failed,1
110,Company 110,2025-06-15,document_check,Approved,372
110,Company 110,2025-06-15,document_check,Disapproved,1
110,Company 110,2025-06-15,document_check,Incomplete,25
110,Company 110,2025-06-15,liveness,Approved,417
110,Company 110,2025-06-15,liveness,Disapproved,28
110,Company 110,2025-06-15,liveness,Incomplete,43
110,Company 110,2025-06-15,liveness,Failed,4
110,Company 110,2025-06-22,document_check,Approved,364
110,Company 110,2025-06-22,document_check,Disapproved,1
110,Company 110,2025-06-22,document_check,Incomplete,20
110,Company 110,2025-06-22,document_check,Failed,1
110,Company 110,2025-06-22,liveness,Approved,406
110,Company 110,2025-06-22,liveness,Disapproved,30
110,Company 110,2025-06-22,liveness,Incomplete,32
110,Company 110,2025-06-22,liveness,Failed,2
110,Company 110,2025-06-29,document_check,Approved,459
110,Company 110,2025-06-29,document_check,Disapproved,24
110,Company 110,2025-06-29,document_check,Incomplete,30
110,Company 110,2025-06-29,facematch,Approved,240
110,Company 110,2025-06-29,liveness,Approved,527
110,Company 110,2025-06-29,liveness,Disapproved,41
110,Company 110,2025-06-29,liveness,Incomplete,70
110,Company 110,2025-06-29,liveness,Failed,9
110,Company 110,2025-07-06,document_check,Approved,386
110,Company 110,2025-07-06,document_check,Disapproved,9
110,Company 110,2025-07-06,document_check,Incomplete,14
110,Company 110,2025-07-06,facematch,Approved,382
110,Company 110,2025-07-06,facematch,Disapproved,1
110,Company 110,2025-07-06,liveness,Approved,420
110,Company 110,2025-07-06,liveness,Disapproved,8
110,Company 110,2025-07-06,liveness,Incomplete,57
110,Company 110,2025-07-06,liveness,Failed,7
110,Company 110,2025-07-13,document_check,Approved,204
110,Company 110,2025-07-13,document_check,Disapproved,4
110,Company 110,2025-07-13,document_check,Incomplete,5
110,Company 110,2025-07-13,facematch,Approved,56
110,Company 110,2025-07-13,liveness,Approved,219
110,Company 110,2025-07-13,liveness,Disapproved,9
110,Company 110,2025-07-13,liveness,Incomplete,23
110,Company 110,2025-07-13,liveness,Failed,2
110,Company 110,2025-07-20,document_check,Approved,225
110,Company 110,2025-07-20,document_check,Disapproved,1
