dau_count,companyId,month,unique_users_count
14,1,2025-05,14
6,5,2025-01,6
126,5,2025-02,62
165,5,2025-03,78
143,5,2025-04,62
152,5,2025-05,76
167,5,2025-06,67
104,5,2025-07,52
3,5,2025-08,3
1,5,2025-10,1
7,5,2025-12,3
1,28,2025-05,1
30,28,2025-06,12
19,28,2025-07,5
15,28,2025-08,3
51,28,2025-09,41
36,28,2025-10,34
47,28,2025-11,36
63,28,2025-12,58
536,35,2025-01,449
543,35,2025-02,451
1245,35,2025-03,1060
1058,35,2025-04,902
994,35,2025-05,835
784,35,2025-06,660
712,35,2025-07,606
666,35,2025-08,570
606,35,2025-09,493
611,35,2025-10,522
554,35,2025-11,467
504,35,2025-12,402
2447,54,2025-01,2144
6786,54,2025-02,6000
17297,54,2025-03,13971
10600,54,2025-04,9828
8813,54,2025-05,8169
7372,54,2025-06,6863
9156,54,2025-07,8488
23646,54,2025-08,19069
23774,54,2025-09,19310
24324,54,2025-10,19952
34570,54,2025-11,28141
33179,54,2025-12,27356
2,75,2025-04,2
1,75,2025-05,1
2,85,2025-09,2
8353,95,2025-01,6358
6449,95,2025-02,4764
6927,95,2025-03,4936
7419,95,2025-04,5307
6973,95,2025-05,4958
7036,95,2025-06,5122
7154,95,2025-07,5274
6700,95,2025-08,4905
6760,95,2025-09,5016
6649,95,2025-10,4956
6525,95,2025-11,4843
6520,95,2025-12,4895
17,110,2025-01,16
47,110,2025-02,36
50,110,2025-03,44
1421,110,2025-04,1309
1801,110,2025-05,1664
1947,110,2025-06,1843
1155,110,2025-07,1102
1308,110,2025-08,1259
1186,110,2025-09,1133
1176,110,2025-10,1124
1463,110,2025-11,1402
1263,110,2025-12,1215
7,111,2025-06,5
3,111,2025-07,2
40,111,2025-08,37
42,111,2025-09,41
74,111,2025-10,70
89,111,2025-11,84
146,111,2025-12,129
9,121,2025-01,5
11,121,2025-02,9
8,121,2025-03,3
11,121,2025-04,5
15,121,2025-05,8
2,121,2025-06,1
3,121,2025-07,2
9,121,2025-08,6
2,121,2025-09,1
1,121,2025-10,1
2,121,2025-11,2
180,123,2025-02,180
3503,123,2025-03,3464
2931,123,2025-04,2899
2360,123,2025-05,2324
1048,123,2025-06,1037
463,123,2025-07,425
8717,123,2025-08,7544
25852,123,2025-09,22512
20810,123,2025-10,18108
14076,123,2025-11,11860
13690,123,2025-12,11537
9,124,2025-02,5
84,124,2025-03,21
1333,124,2025-04,893
3154,124,2025-05,2071
2667,124,2025-06,1871
5710,124,2025-07,3813
8970,124,2025-08,5896
8241,124,2025-09,5483
7254,124,2025-10,4717
5667,124,2025-11,3852
6711,124,2025-12,4391
1,133,2025-02,1
32,133,2025-04,12
2,133,2025-06,2
1,133,2025-07,1
4,135,2025-01,3
18,135,2025-02,8
9,135,2025-03,5
15,135,2025-04,6
18,135,2025-05,12
24,135,2025-06,18
16,135,2025-07,9
16,135,2025-08,9
13,135,2025-09,5
5,135,2025-10,3
12,135,2025-11,5
16,135,2025-12,11
10000,138,2025-01,6573
9134,138,2025-02,5641
4114,138,2025-03,3126
