installation_id,userId,userType,installedByUserId,mapping_user_id,appId,app_name,installed_at,installed_date,week_end_sunday,updatedAt
01K8HHKXAPV2TQYTR6P006B7P6,593982835748,USER,NULL,593982835748,01K8C7NBTZZQP3A0VWVZBM1RZ5,Gmail,"2025-10-27 00:38:15",2025-10-27,2025-11-02,"2025-10-27 00:38:15"
01K8KKZ761B3T471V43HJEH5H3,593959132167,USER,NULL,593959132167,01K8HTG5B6DS15XQ67J3ZA1Q9J,"Google Calendar","2025-10-27 19:57:51",2025-10-27,2025-11-02,"2025-10-27 19:57:51"
01K8RC8V1MZ4X9738RRHW0PSPC,test-user-123,USER,NULL,test-user-123,01K8NMAY6TJ06AKN2WZP2Y6140,Hubspot,"2025-10-29 16:19:30",2025-10-29,2025-11-02,"2025-10-29 16:19:30"
01K8RD74MZY4YTX0893TDZW2NW,test-user-789,USER,NULL,test-user-789,01K8NMAY6TJ06AKN2WZP2Y6140,Hubspot,"2025-10-29 16:36:03",2025-10-29,2025-11-02,"2025-10-29 16:36:03"
01K8RHTVVQSKY08056AGGH5490,test-user-101,USER,NULL,test-user-101,01K8NMAY6TJ06AKN2WZP2Y6140,Hubspot,"2025-10-29 17:56:44",2025-10-29,2025-11-02,"2025-10-29 17:56:44"
01K8RW3NZGCXWGCQA74ZTCPQXA,593990486358,USER,NULL,593990486358,01K8HTG5B6DS15XQ67J3ZA1Q9J,"Google Calendar","2025-10-29 20:56:18",2025-10-29,2025-11-02,"2025-10-29 20:56:18"
01K8TR153WE1JJAR8H7WMMYAYV,test-user-505,USER,NULL,test-user-505,01K8NMAY6TJ06AKN2WZP2Y6140,Hubspot,"2025-10-30 14:23:30",2025-10-30,2025-11-02,"2025-10-30 14:23:30"
01K8VKYNQ4NKTE7VP1RM4N82FQ,9999,USER,NULL,9999,01K8VHDZR76SC4K6C7ARA5G5CC,Slack,"2025-10-30 22:31:29",2025-10-30,2025-11-02,"2025-10-30 22:31:29"
01K8X8YK8TFC7QFC46BEF99SK6,593988878638,USER,NULL,593988878638,01K8VHDZR76SC4K6C7ARA5G5CC,Slack,"2025-10-31 13:57:41",2025-10-31,2025-11-02,"2025-10-31 13:57:41"
01K97MWB06HJ08H043HE3ZTMV8,573158776064,USER,NULL,573158776064,01K8HTG5B6DS15XQ67J3ZA1Q9J,"Google Calendar","2025-11-04 14:38:34",2025-11-04,2025-11-09,"2025-11-04 14:38:34"
01K97P9YNXXPH8TRM9HNF5K89V,573158776064,USER,NULL,573158776064,01K8NMAY6TJ06AKN2WZP2Y6140,Hubspot,"2025-11-04 15:03:29",2025-11-04,2025-11-09,"2025-11-04 15:03:29"
01K97ZMFRHBZQVB1F87V8PX4AK,573158776064,USER,NULL,573158776064,01K8VHDZR76SC4K6C7ARA5G5CC,Slack,"2025-11-04 17:46:31",2025-11-04,2025-11-09,"2025-11-04 17:46:31"
01K9AT46R1HC98X8GCXERAGF2P,573158776064,USER,NULL,573158776064,01K8C7NBTZZQP3A0VWVZBM1RZ5,Gmail,"2025-11-05 20:07:58",2025-11-05,2025-11-09,"2025-11-05 20:07:58"
01K9ATWNV602X67B6KRX235KF3,593996411676,USER,NULL,593996411676,01K8HTG5B6DS15XQ67J3ZA1Q9J,"Google Calendar","2025-11-05 20:21:20",2025-11-05,2025-11-09,"2025-11-05 20:21:20"
01K9B5W7HWF8RK1CWAH2X24733,593959132167,USER,NULL,593959132167,01K8C7NBTZZQP3A0VWVZBM1RZ5,Gmail,"2025-11-05 23:33:20",2025-11-05,2025-11-09,"2025-11-05 23:33:20"
01K9CRDY6P1ARAP9A1FETCWQ5Q,593968803368,USER,NULL,593968803368,01K8NMAY6TJ06AKN2WZP2Y6140,Hubspot,"2025-11-06 14:16:49",2025-11-06,2025-11-09,"2025-11-06 14:16:49"
01K9CSS3YYQ41SPXWBXYG0R1EA,5218115917786,USER,NULL,5218115917786,01K8HTG5B6DS15XQ67J3ZA1Q9J,"Google Calendar","2025-11-06 14:40:24",2025-11-06,2025-11-09,"2025-11-06 14:40:24"
01K9DFPA7JFT3EASKS0ZK9X927,593962734141,USER,NULL,593962734141,01K8VHDZR76SC4K6C7ARA5G5CC,Slack,"2025-11-06 21:03:20",2025-11-06,2025-11-09,"2025-11-06 21:03:20"
01K9DG6VP2YYFMFNC7CACNXGXH,5218115917786,USER,NULL,5218115917786,01K8C7NBTZZQP3A0VWVZBM1RZ5,Gmail,"2025-11-06 21:12:23",2025-11-06,2025-11-09,"2025-11-06 21:12:23"
01K9DGG5B7Y4SXK8R85XJGQ4JF,1,USER,NULL,1,01K8NMAY6TJ06AKN2WZP2Y6140,Hubspot,"2025-11-06 21:17:27",2025-11-06,2025-11-09,"2025-11-06 21:17:27"
01K9FJ19GMVT732E3K3548ABCD,11338,USER,NULL,11338,01K8C7NBTZZQP3A0VWVZBM1RZ5,Gmail,"2025-11-07 16:22:46",2025-11-07,2025-11-09,"2025-11-07 16:22:46"
01K9FJF31BTT1JSS2KR0544FCZ,11338,USER,NULL,11338,01K8HTG5B6DS15XQ67J3ZA1Q9J,"Google Calendar","2025-11-07 16:30:18",2025-11-07,2025-11-09,"2025-11-07 16:30:18"
01K9FP5QETB45MNHK4387EE0JW,573158776064,USER,NULL,573158776064,01K9FNY2C724J72BD0XC75JWSV,"Google Drive","2025-11-07 17:35:06",2025-11-07,2025-11-09,"2025-11-07 17:35:06"
