execution_count,companyId,companyName,month,MARKETING,MARKETING_LITE,UTILITY,dau_count,unique_users_count
5082.0,1,Shippify,2025-04,,,,,
10777.0,1,Shippify,2025-05,,,,14.0,14.0
21152.0,1,Shippify,2025-06,0.0,0.0,4.0,,
26329.0,1,Shippify,2025-07,0.0,16451.0,2358.0,,
28414.0,1,Shippify,2025-08,0.0,20387.0,3291.0,,
25384.0,1,Shippify,2025-09,0.0,22725.0,2993.0,,
22851.0,1,Shippify,2025-10,0.0,22911.0,3021.0,,
22715.0,1,Shippify,2025-11,0.0,77538.0,42.0,,
21002.0,1,Shippify,2025-12,0.0,40870.0,1.0,,
1008.0,5,DevLab,2025-01,,,,6.0,6.0
1180.0,5,DevLab,2025-02,,,,126.0,62.0
1514.0,5,DevLab,2025-03,,,,165.0,78.0
1456.0,5,DevLab,2025-04,,,,143.0,62.0
1404.0,5,DevLab,2025-05,,,,152.0,76.0
1440.0,5,DevLab,2025-06,,,,167.0,67.0
1397.0,5,DevLab,2025-07,21.0,23.0,300.0,104.0,52.0
1604.0,5,DevLab,2025-08,56.0,17.0,300.0,3.0,3.0
1920.0,5,DevLab,2025-09,3.0,47.0,242.0,,
1971.0,5,DevLab,2025-10,0.0,62.0,224.0,1.0,1.0
2025.0,5,DevLab,2025-11,0.0,57.0,347.0,,
2418.0,5,DevLab,2025-12,0.0,40.0,217.0,7.0,3.0
62.0,11,BdP,2025-01,,,,,
4.0,11,BdP,2025-02,,,,,
2091.0,11,BdP,2025-04,,,,,
642.0,11,BdP,2025-05,,,,,
942.0,11,BdP,2025-06,,,,,
436.0,11,BdP,2025-07,32309.0,0.0,1565.0,,
715427.0,11,BdP,2025-08,78825.0,0.0,2617.0,,
2094833.0,11,BdP,2025-09,36835.0,0.0,862.0,,
1954647.0,11,BdP,2025-10,38823.0,0.0,66.0,,
1761592.0,11,BdP,2025-11,78376.0,0.0,36.0,,
1830345.0,11,BdP,2025-12,89384.0,0.0,49.0,,
9.0,28,El Rosado,2025-03,,,,,
15030.0,28,El Rosado,2025-04,,,,,
16728.0,28,El Rosado,2025-05,,,,1.0,1.0
15071.0,28,El Rosado,2025-06,,,,30.0,12.0
16158.0,28,El Rosado,2025-07,0.0,0.0,1.0,19.0,5.0
16568.0,28,El Rosado,2025-08,,,,15.0,3.0
17878.0,28,El Rosado,2025-09,0.0,0.0,6.0,51.0,41.0
24013.0,28,El Rosado,2025-10,0.0,0.0,4.0,36.0,34.0
20185.0,28,El Rosado,2025-11,0.0,0.0,105.0,47.0,36.0
20732.0,28,El Rosado,2025-12,0.0,0.0,232.0,63.0,58.0
91.0,35,Datafast,2025-01,,,,536.0,449.0
54.0,35,Datafast,2025-02,,,,543.0,451.0
637.0,35,Datafast,2025-03,,,,1245.0,1060.0
632.0,35,Datafast,2025-04,,,,1058.0,902.0
506.0,35,Datafast,2025-05,,,,994.0,835.0
386.0,35,Datafast,2025-06,1532.0,0.0,366.0,784.0,660.0
288.0,35,Datafast,2025-07,49712.0,0.0,32157.0,712.0,606.0
313.0,35,Datafast,2025-08,37449.0,0.0,32767.0,666.0,570.0
310.0,35,Datafast,2025-09,38571.0,0.0,26290.0,606.0,493.0
240.0,35,Datafast,2025-10,31609.0,23884.0,30387.0,611.0,522.0
248.0,35,Datafast,2025-11,125.0,37646.0,31989.0,554.0,467.0
