execution_count,companyId,companyName,week_end_sunday,MARKETING,UTILITY,AUTHENTICATION,dau_count,unique_users_count,connect_licenses,signups,self_service,enterprise,other_plans
33.0,5,DevLab,2025-01-05,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,35,Unknown,2025-01-05,0.0,0.0,0.0,38.0,35.0,0.0,0.0,0.0,0.0,0.0
11091.0,54,Pycca,2025-01-05,0.0,0.0,0.0,310.0,295.0,0.0,0.0,0.0,0.0,0.0
12125.0,95,Veris,2025-01-05,0.0,0.0,0.0,893.0,814.0,0.0,0.0,0.0,0.0,0.0
26.0,124,GEA Ecuador,2025-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,135,Jelou Dev,2025-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3345.0,138,Cervecería Nacional,2025-01-05,0.0,0.0,0.0,680.0,612.0,0.0,0.0,0.0,0.0,0.0
28588.0,150,Deprati,2025-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216114.0,155,Banco Guayaquil,2025-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240.0,258,Luzverde,2025-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,316,Unknown,2025-01-05,0.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0
4.0,317,Aurea,2025-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,331,Jelou Producto,2025-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,353,Yomp,2025-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
653.0,361,Jelou Pay,2025-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3829.0,362,Arca PE,2025-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
698.0,404,MONGO'S,2025-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5831.0,405,Massline,2025-01-05,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0
8.0,452,Seguros Pacífico,2025-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1342.0,470,Arca PE Proyecto Frío,2025-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9677.0,692,Banisi Chat,2025-01-05,0.0,0.0,0.0,1671.0,1570.0,0.0,0.0,0.0,0.0,0.0
35.0,807,Universidad de las Artes,2025-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1039.0,823,Tuenti POC,2025-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,930,Banco Bolivariano Cobranzas,2025-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,935,Lavca,2025-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.0,940,Mardis,2025-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211.0,965,Livansud,2025-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,997,La Finestra SAS,2025-01-05,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
6.0,1133,Vivalia,2025-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
