companyId,week_end_sunday,conversationType,event_count,billable_count
1,2025-06-29,UTILITY,4,4
1,2025-07-06,MARKETING_LITE,967,967
1,2025-07-06,UTILITY,305,279
1,2025-07-13,MARKETING_LITE,9398,9398
1,2025-07-13,UTILITY,493,464
1,2025-07-20,MARKETING_LITE,2932,2932
1,2025-07-20,UTILITY,690,601
1,2025-07-27,MARKETING_LITE,3026,3026
1,2025-07-27,UTILITY,776,670
1,2025-08-03,MARKETING_LITE,254,254
1,2025-08-03,UTILITY,587,509
1,2025-08-10,MARKETING_LITE,6516,6516
1,2025-08-10,UTILITY,818,726
1,2025-08-17,MARKETING_LITE,3681,3681
1,2025-08-17,UTILITY,611,559
1,2025-08-24,MARKETING_LITE,3778,3778
1,2025-08-24,UTILITY,869,792
1,2025-08-31,MARKETING_LITE,6286,6286
1,2025-08-31,UTILITY,1226,1049
1,2025-09-07,MARKETING_LITE,5112,5112
1,2025-09-07,UTILITY,731,691
1,2025-09-14,MARKETING_LITE,4819,4819
1,2025-09-14,UTILITY,660,597
1,2025-09-21,MARKETING_LITE,5217,5217
1,2025-09-21,UTILITY,669,614
1,2025-09-28,MARKETING_LITE,6904,6904
1,2025-09-28,UTILITY,985,903
1,2025-10-05,MARKETING_LITE,6927,6927
1,2025-10-05,UTILITY,1752,1583
1,2025-10-12,MARKETING_LITE,3685,3685
1,2025-10-12,UTILITY,1283,1195
1,2025-10-19,MARKETING_LITE,4503,4503
1,2025-10-19,UTILITY,403,356
1,2025-10-26,MARKETING_LITE,1319,1319
1,2025-10-26,UTILITY,5,5
1,2025-11-02,MARKETING_LITE,8911,8911
1,2025-11-02,UTILITY,76,70
1,2025-11-09,MARKETING_LITE,4347,4347
1,2025-11-09,UTILITY,32,30
1,2025-11-16,MARKETING_LITE,18307,18307
1,2025-11-16,UTILITY,12,12
1,2025-11-23,MARKETING_LITE,22499,22499
1,2025-11-30,MARKETING_LITE,30624,30624
1,2025-12-07,MARKETING_LITE,9675,9510
1,2025-12-14,MARKETING_LITE,9818,9186
1,2025-12-14,UTILITY,1,0
1,2025-12-21,MARKETING_LITE,6939,6526
1,2025-12-21,UTILITY,1,1
1,2025-12-28,MARKETING_LITE,9486,9234
1,2026-01-04,MARKETING_LITE,6706,6480
1,2026-01-11,MARKETING_LITE,10391,10122
1,2026-01-18,MARKETING_LITE,7864,7661
1,2026-01-25,MARKETING_LITE,3099,3052
1,2026-02-01,MARKETING_LITE,5734,5715
1,2026-02-08,MARKETING_LITE,6697,6697
1,2026-02-15,MARKETING_LITE,231,231
1,2026-02-22,MARKETING_LITE,316,316
1,2026-03-01,MARKETING,6896,3741
1,2026-03-01,MARKETING_LITE,1856,1856
1,2026-03-08,MARKETING,11512,6347
1,2026-03-08,MARKETING_LITE,2,1
5,2025-07-06,AUTHENTICATION,2,2
5,2025-07-06,MARKETING,3,3
5,2025-07-06,MARKETING_LITE,1,1
5,2025-07-06,UTILITY,116,107
5,2025-07-13,MARKETING,7,7
5,2025-07-13,MARKETING_LITE,8,8
5,2025-07-13,UTILITY,62,52
5,2025-07-20,MARKETING,5,5
5,2025-07-20,MARKETING_LITE,5,5
5,2025-07-20,UTILITY,41,31
5,2025-07-27,MARKETING,5,5
5,2025-07-27,MARKETING_LITE,4,4
5,2025-07-27,UTILITY,98,80
5,2025-08-03,MARKETING,1,1
5,2025-08-03,MARKETING_LITE,5,5
5,2025-08-03,UTILITY,91,87
5,2025-08-10,MARKETING,23,23
5,2025-08-10,MARKETING_LITE,2,2
5,2025-08-10,UTILITY,75,68
5,2025-08-17,MARKETING,26,26
5,2025-08-17,MARKETING_LITE,2,2
5,2025-08-17,UTILITY,84,66
5,2025-08-24,MARKETING,6,6
5,2025-08-24,MARKETING_LITE,3,3
5,2025-08-24,UTILITY,34,31
5,2025-08-31,MARKETING,1,1
5,2025-08-31,MARKETING_LITE,10,10
5,2025-08-31,UTILITY,92,78
5,2025-09-07,MARKETING,1,1
5,2025-09-07,MARKETING_LITE,4,4
5,2025-09-07,UTILITY,78,60
5,2025-09-14,MARKETING,1,1
5,2025-09-14,MARKETING_LITE,8,8
5,2025-09-14,UTILITY,88,74
5,2025-09-21,MARKETING,1,1
5,2025-09-21,MARKETING_LITE,25,25
5,2025-09-21,UTILITY,28,21
5,2025-09-28,MARKETING_LITE,8,8
5,2025-09-28,UTILITY,77,41
5,2025-10-05,MARKETING_LITE,22,22
5,2025-10-05,UTILITY,147,104
5,2025-10-12,MARKETING_LITE,7,7
5,2025-10-12,UTILITY,54,47
5,2025-10-19,MARKETING_LITE,15,15
5,2025-10-19,UTILITY,48,37
5,2025-10-26,MARKETING_LITE,13,13
5,2025-10-26,UTILITY,55,41
5,2025-11-02,MARKETING_LITE,8,8
5,2025-11-02,UTILITY,105,86
5,2025-11-09,MARKETING_LITE,9,9
5,2025-11-09,UTILITY,47,45
5,2025-11-16,MARKETING_LITE,17,17
5,2025-11-16,UTILITY,202,156
5,2025-11-23,MARKETING_LITE,11,11
5,2025-11-23,UTILITY,80,71
5,2025-11-30,MARKETING_LITE,19,19
5,2025-11-30,UTILITY,30,30
5,2025-12-07,AUTHENTICATION,1,1
5,2025-12-07,MARKETING_LITE,10,10
5,2025-12-07,UTILITY,67,51
5,2025-12-14,MARKETING_LITE,18,15
5,2025-12-14,UTILITY,57,45
5,2025-12-21,MARKETING_LITE,12,9
5,2025-12-21,UTILITY,139,100
5,2025-12-28,MARKETING_LITE,3,2
5,2025-12-28,UTILITY,15,14
5,2026-01-04,MARKETING_LITE,5,4
5,2026-01-04,UTILITY,41,39
5,2026-01-11,MARKETING_LITE,2,2
5,2026-01-11,UTILITY,132,122
5,2026-01-18,MARKETING_LITE,6,4
5,2026-01-18,UTILITY,112,101
5,2026-01-25,MARKETING,1,1
5,2026-01-25,MARKETING_LITE,8,6
5,2026-01-25,UTILITY,85,75
5,2026-02-01,MARKETING_LITE,4,4
5,2026-02-01,UTILITY,70,60
5,2026-02-08,MARKETING_LITE,8,7
5,2026-02-08,UTILITY,118,100
5,2026-02-15,MARKETING_LITE,8,7
5,2026-02-15,UTILITY,144,112
5,2026-02-22,MARKETING_LITE,15,12
5,2026-02-22,UTILITY,172,152
5,2026-03-01,MARKETING_LITE,9,8
5,2026-03-01,UTILITY,133,106
5,2026-03-08,MARKETING_LITE,5,4
5,2026-03-08,UTILITY,73,62
11,2025-07-06,MARKETING,6,6
11,2025-07-06,UTILITY,1591,1555
11,2025-07-13,MARKETING,2341,2341
11,2025-07-13,UTILITY,11,7
11,2025-07-20,MARKETING,13409,13409
11,2025-07-20,UTILITY,15,2
11,2025-07-27,MARKETING,10152,10152
11,2025-07-27,UTILITY,14,1
11,2025-08-03,MARKETING,6424,6424
11,2025-08-03,UTILITY,26,4
11,2025-08-10,MARKETING,20,20
11,2025-08-10,UTILITY,14,0
11,2025-08-17,MARKETING,15,15
11,2025-08-17,UTILITY,40,0
11,2025-08-24,MARKETING,28,28
11,2025-08-24,UTILITY,2634,2590
11,2025-08-31,MARKETING,78739,78739
11,2025-08-31,UTILITY,96,23
11,2025-09-07,MARKETING,1655,1655
11,2025-09-07,UTILITY,68,20
11,2025-09-14,MARKETING,11840,11840
11,2025-09-14,UTILITY,803,777
11,2025-09-21,MARKETING,5619,5619
11,2025-09-21,UTILITY,63,15
11,2025-09-28,MARKETING,13485,13485
11,2025-09-28,UTILITY,55,31
11,2025-10-05,MARKETING,15108,15108
11,2025-10-05,UTILITY,48,34
11,2025-10-12,MARKETING,978,978
11,2025-10-12,UTILITY,13,10
11,2025-10-19,MARKETING,9162,9162
11,2025-10-19,UTILITY,20,14
11,2025-10-26,MARKETING,12743,12743
11,2025-10-26,UTILITY,24,19
11,2025-11-02,MARKETING,5145,5145
11,2025-11-02,UTILITY,17,10
11,2025-11-09,MARKETING,17770,17770
11,2025-11-09,UTILITY,15,10
11,2025-11-16,MARKETING,10731,10731
11,2025-11-16,UTILITY,15,9
11,2025-11-23,MARKETING,14715,14715
11,2025-11-23,UTILITY,6,6
11,2025-11-30,MARKETING,35083,35083
11,2025-11-30,UTILITY,9,9
11,2025-12-07,MARKETING,6007,5795
11,2025-12-07,UTILITY,16,13
11,2025-12-14,MARKETING,26289,25663
11,2025-12-14,UTILITY,7,7
11,2025-12-21,MARKETING,16664,16124
11,2025-12-21,UTILITY,22,20
11,2025-12-28,MARKETING,31869,30512
11,2025-12-28,UTILITY,11,9
11,2026-01-04,MARKETING,12271,11354
11,2026-01-04,UTILITY,13,10
11,2026-01-11,MARKETING,1178,69
11,2026-01-11,UTILITY,10,9
11,2026-01-18,MARKETING,18388,8638
11,2026-01-18,UTILITY,404,402
11,2026-01-25,MARKETING,498,51
11,2026-01-25,MARKETING_LITE,6969,6969
11,2026-01-25,UTILITY,6,2
11,2026-02-01,MARKETING,76,14
11,2026-02-01,MARKETING_LITE,13526,13526
11,2026-02-01,UTILITY,3,2
11,2026-02-08,MARKETING,12,6
11,2026-02-08,MARKETING_LITE,49,49
11,2026-02-08,UTILITY,2,1
11,2026-02-15,MARKETING,10,9
11,2026-02-15,MARKETING_LITE,1856,1856
11,2026-02-22,MARKETING_LITE,559,559
11,2026-02-22,UTILITY,1,1
11,2026-03-01,MARKETING_LITE,13105,13100
11,2026-03-01,UTILITY,3,3
11,2026-03-08,MARKETING_LITE,11,11
28,2025-07-13,UTILITY,2,1
28,2025-09-07,UTILITY,2,1
28,2025-09-21,UTILITY,3,2
28,2025-09-28,UTILITY,6,3
28,2025-10-12,UTILITY,6,2
28,2025-10-19,UTILITY,5,1
28,2025-10-26,UTILITY,3,1
28,2025-11-23,UTILITY,81,78
28,2025-11-30,UTILITY,28,27
28,2025-12-07,UTILITY,77,76
28,2025-12-14,UTILITY,33,28
28,2025-12-21,UTILITY,3,0
28,2025-12-28,UTILITY,61,59
28,2026-01-04,UTILITY,73,71
28,2026-01-11,UTILITY,104,103
28,2026-01-18,UTILITY,74,69
28,2026-01-25,UTILITY,1,1
28,2026-02-01,UTILITY,130,127
28,2026-02-08,UTILITY,51,49
28,2026-02-15,UTILITY,62,60
28,2026-02-22,UTILITY,1,1
28,2026-03-01,MARKETING,2,1
28,2026-03-01,UTILITY,3,3
28,2026-03-08,MARKETING,26,13
28,2026-03-08,UTILITY,5,1
35,2025-07-06,MARKETING,7084,7084
35,2025-07-06,UTILITY,6198,5973
35,2025-07-13,MARKETING,7988,7988
35,2025-07-13,UTILITY,8197,7948
35,2025-07-20,MARKETING,11699,11699
35,2025-07-20,UTILITY,6527,6259
35,2025-07-27,MARKETING,12457,12457
35,2025-07-27,UTILITY,7067,6773
35,2025-08-03,MARKETING,14061,14061
35,2025-08-03,UTILITY,7885,7589
35,2025-08-10,MARKETING,8781,8781
35,2025-08-10,UTILITY,6591,6281
35,2025-08-17,MARKETING,8056,8056
35,2025-08-17,UTILITY,6071,5855
35,2025-08-24,MARKETING,9178,9178
35,2025-08-24,UTILITY,9574,9215
35,2025-08-31,MARKETING,9389,9389
35,2025-08-31,UTILITY,9758,9397
35,2025-09-07,MARKETING,7264,7262
35,2025-09-07,UTILITY,7444,7192
35,2025-09-14,MARKETING,8608,8608
35,2025-09-14,UTILITY,5139,4898
35,2025-09-21,MARKETING,8675,8675
35,2025-09-21,UTILITY,5327,5093
35,2025-09-28,MARKETING,10457,10457
35,2025-09-28,UTILITY,7740,7379
