week_end_sunday,signups,self_service,enterprise,other_plans
2025-01-12,4,0,4,0
2025-01-19,7,0,7,0
2025-01-26,5,0,5,0
2025-02-02,7,0,7,0
2025-02-09,12,0,10,2
2025-02-16,11,0,8,3
2025-02-23,5,0,4,1
2025-03-02,6,0,4,2
2025-03-09,15,0,0,15
2025-03-16,10,0,1,9
2025-03-23,10,0,5,5
2025-03-30,33,0,5,28
2025-04-06,34,0,6,28
2025-04-13,6,0,3,3
2025-04-20,11,0,5,6
2025-04-27,6,0,1,5
2025-05-04,18,0,2,16
2025-05-11,9,0,4,5
2025-05-18,4,0,1,3
2025-05-25,4,0,4,0
2025-06-01,20,0,7,13
2025-06-08,17,0,6,11
2025-06-15,12,0,3,9
2025-06-22,7,0,3,4
2025-06-29,14,0,5,9
2025-07-06,17,0,4,13
2025-07-13,22,0,7,15
2025-07-20,22,0,8,14
2025-07-27,42,0,3,39
2025-08-03,36,0,5,31
2025-08-10,27,0,3,24
2025-08-17,25,0,3,22
2025-08-24,16,0,7,9
2025-08-31,16,0,6,10
2025-09-07,17,0,2,15
2025-09-14,6,0,2,4
2025-09-21,10,0,2,8
2025-09-28,16,0,2,14
2025-10-05,12,0,1,11
2025-10-12,21,0,7,14
2025-10-19,10,1,2,7
2025-10-26,10,0,5,5
2025-11-02,6,0,1,5
2025-11-09,11,7,4,0
2025-11-16,23,15,1,7
2025-11-23,43,27,8,8
2025-11-30,28,24,2,2
2025-12-07,44,24,3,17
2025-12-14,42,36,3,3
2025-12-21,34,26,4,4
2025-12-28,23,15,3,5
2026-01-04,22,21,1,0
2026-01-11,47,43,0,4
2026-01-18,45,29,9,7
2026-01-25,39,34,2,3
2026-02-01,52,49,2,1
2026-02-08,69,60,4,5
2026-02-15,78,66,5,7
2026-02-22,39,33,5,1
2026-03-01,91,81,4,6
2026-03-08,104,100,2,2
2026-03-15,196,178,7,11
2026-03-22,328,312,6,10
2026-03-29,369,357,7,5
2026-04-05,270,259,5,6
2026-04-12,229,224,3,2
2026-04-19,168,158,3,7
