week_end_sunday,companyId,plan_tier_name,plan_tier_display_name,connect_licenses
2026-02-22,3639,FREE,Free Plan,1
2026-03-01,3639,FREE,Free Plan,1
2026-03-08,3639,FREE,Free Plan,1
2026-03-15,3639,FREE,Free Plan,1
2026-03-22,3657,FREE,Free Plan,1
2026-03-22,3658,FREE,Free Plan,1
2026-03-22,3662,FREE,Free Plan,1
2026-03-22,3666,TEAMS,Teams Plan,1
2026-03-22,3667,FREE,Free Plan,1
2026-03-22,3671,FREE,Free Plan,1
2026-03-22,4382,FREE,Free Plan,1
2026-03-22,4386,FREE,Free Plan,1
2026-03-22,4393,FREE,Free Plan,1
2026-03-22,4395,FREE,Free Plan,1
2026-03-22,4397,FREE,Free Plan,1
2026-03-22,4400,FREE,Free Plan,1
2026-03-22,4410,FREE,Free Plan,1
2026-03-22,4411,FREE,Free Plan,1
2026-03-22,4414,FREE,Free Plan,1
2026-03-22,4415,FREE,Free Plan,1
2026-03-22,4420,FREE,Free Plan,1
2026-03-22,4425,FREE,Free Plan,1
2026-03-22,4430,FREE,Free Plan,1
2026-03-22,4443,FREE,Free Plan,1
2026-03-22,4444,FREE,Free Plan,1
2026-03-22,4453,FREE,Free Plan,1
2026-03-22,4457,FREE,Free Plan,1
2026-03-22,4458,FREE,Free Plan,1
2026-03-22,4468,FREE,Free Plan,1
2026-03-22,4470,FREE,Free Plan,1
2026-03-22,4479,FREE,Free Plan,1
2026-03-22,4482,FREE,Free Plan,1
2026-03-22,4485,FREE,Free Plan,1
2026-03-22,4490,FREE,Free Plan,1
2026-03-22,4493,FREE,Free Plan,1
2026-03-22,4494,FREE,Free Plan,1
2026-03-22,4500,FREE,Free Plan,1
2026-03-29,2888,FREE,Free Plan,1
2026-03-29,2942,FREE,Free Plan,1
2026-03-29,3154,FREE,Free Plan,1
2026-03-29,3335,FREE,Free Plan,1
2026-03-29,3338,FREE,Free Plan,1
2026-03-29,3377,FREE,Free Plan,1
2026-03-29,3397,FREE,Free Plan,1
2026-03-29,3536,FREE,Free Plan,1
2026-03-29,3537,FREE,Free Plan,1
2026-03-29,3577,FREE,Free Plan,1
2026-03-29,3578,FREE,Free Plan,1
2026-03-29,3592,FREE,Free Plan,1
2026-03-29,3595,FREE,Free Plan,1
2026-03-29,3657,FREE,Free Plan,1
2026-03-29,3658,FREE,Free Plan,1
2026-03-29,3662,FREE,Free Plan,1
2026-03-29,3666,TEAMS,Teams Plan,1
2026-03-29,3667,FREE,Free Plan,1
2026-03-29,3671,FREE,Free Plan,1
2026-03-29,3677,FREE,Free Plan,1
2026-03-29,3678,FREE,Free Plan,1
2026-03-29,3681,FREE,Free Plan,1
2026-03-29,3691,FREE,Free Plan,1
2026-03-29,3693,FREE,Free Plan,1
2026-03-29,3697,FREE,Free Plan,1
2026-03-29,3701,FREE,Free Plan,1
